id,name,author,content,tags
511cba066a5e4eb0958cabb4f371d159,和袭美春夕酒醒,唐代 陆龟蒙,"
几年无事傍江湖，醉倒黄公旧酒垆。 <br>觉后不知明月上，满身花影倩人扶。
","写景,月色,闲适"
5328fdb50de84f00a21a2959cba76513,少年游·离多最是,宋代 晏几道,"
离多最是，东西流水，终解两相逢。<br>浅情终似，行云无定，犹到梦魂中。<br>可怜人意，薄于云水，佳会更难重。<br>细想从来，断肠多处，不与今番同。
","爱情,离别"
eb87879d1f944cf8bcdc1bf583a7e75a,次韵太守向公登楼眺望二首,宋代 秦观,"
<br>
<br>
","历史,怀古"
46a92bab39e445189059db9573a1ac98,南归阻雪,唐代 孟浩然,"
我行滞宛许，日夕望京豫。<br>旷野莽茫茫，乡山在何处。 <br>孤烟村际起，归雁天边去。<br>积雪覆平皋，饥鹰捉寒兔。 <br>少年弄文墨，属意在章句。<br>十上耻还家，裴回守归路。
","写景,怀才不遇,怅惘"
a7fee2672f854cf986e05d6bd0320068,后园凿井歌,唐代 李贺,"
井上辘轳床上转。水声繁，弦声浅。情若何，荀奉倩。<br>城头日，长向城头住。一日作千年，不须流下去。
","夫妻,爱情,生活"
4c26ec8bfa724cbfad4c298ca3b2bb6f,['和袭美春夕酒醒'],唐代 陆龟蒙,"
几年无事傍江湖，醉倒黄公旧酒垆。 <br>觉后不知明月上，满身花影倩人扶。
","写景,月色,闲适"
18ecd16b9141436584e701fca2d7395c,和袭美春夕酒醒,唐代 陆龟蒙,"
几年无事傍江湖，醉倒黄公旧酒垆。 <br>觉后不知明月上，满身花影倩人扶。
","写景,月色,闲适"
99696e6e6c214a119f3024fdc8bf2c39,少年游·离多最是,宋代 晏几道,"
离多最是，东西流水，终解两相逢。<br>浅情终似，行云无定，犹到梦魂中。<br>可怜人意，薄于云水，佳会更难重。<br>细想从来，断肠多处，不与今番同。
","爱情,离别"
5a9140602a464a1eb38b1b3be272762f,次韵太守向公登楼眺望二首,宋代 秦观,"
<br>
<br>
","历史,怀古"
16a80c428d374d0f9b58815b68b35cf3,南归阻雪,唐代 孟浩然,"
我行滞宛许，日夕望京豫。<br>旷野莽茫茫，乡山在何处。 <br>孤烟村际起，归雁天边去。<br>积雪覆平皋，饥鹰捉寒兔。 <br>少年弄文墨，属意在章句。<br>十上耻还家，裴回守归路。
","写景,怀才不遇,怅惘"
03f0e9958f2948459c087cb6c2183841,后园凿井歌,唐代 李贺,"
井上辘轳床上转。水声繁，弦声浅。情若何，荀奉倩。<br>城头日，长向城头住。一日作千年，不须流下去。
","夫妻,爱情,生活"
a7ca3fc67f0b4cf9a62bf3b94017a65d,['和袭美春夕酒醒'],唐代 陆龟蒙,"
几年无事傍江湖，醉倒黄公旧酒垆。 <br>觉后不知明月上，满身花影倩人扶。
","写景,月色,闲适"
6784756d691843de99a77c1d6d759b62,['少年游·离多最是'],宋代 晏几道,"
离多最是，东西流水，终解两相逢。<br>浅情终似，行云无定，犹到梦魂中。<br>可怜人意，薄于云水，佳会更难重。<br>细想从来，断肠多处，不与今番同。
","爱情,离别"
2913b1db51504d41abf98806ad95402d,"['次韵太守向公登楼眺望二首', '茫茫汝水抱城根，野色偷春入烧痕。', '千点湘妃枝上泪，一声杜宇水边魂。', '遥怜鸿隙陂穿路，尚想元和贼负恩。', '粉堞女墙都已尽，恍如陶侃梦天门。']",宋代 秦观,"
<br>
<br>
","历史,怀古"
8dba9fbc977b47509830ec16aebd1110,['南归阻雪'],唐代 孟浩然,"
我行滞宛许，日夕望京豫。<br>旷野莽茫茫，乡山在何处。 <br>孤烟村际起，归雁天边去。<br>积雪覆平皋，饥鹰捉寒兔。 <br>少年弄文墨，属意在章句。<br>十上耻还家，裴回守归路。
","写景,怀才不遇,怅惘"
cd722bfbfabe41ba88e5f5257ae6ea43,['后园凿井歌'],唐代 李贺,"
井上辘轳床上转。水声繁，弦声浅。情若何，荀奉倩。<br>城头日，长向城头住。一日作千年，不须流下去。
","夫妻,爱情,生活"
40bdb849af6846a2b8dbe23db85ca10f,[],,,"座中泣下谁最多？江州司马青衫湿。,白居易《琵琶行 / 琵琶引》"
83a2c6e5c3a44626a4650c029743cc9a,['泛吴松江'],宋代 王禹偁,"
苇蓬疏薄漏斜阳，半日孤吟未过江。<br>唯有鹭鸶知我意，时时翘足对船窗。
","写景,抒情,仕途,厌恶"
e3573d9111a34c50911026cc1cc60659,['念奴娇·炎精中否'],宋代 黄中辅,"
炎精中否？叹人材委靡，都无英物。胡马长驱三犯阙，谁作长城坚壁？万国奔腾，两宫幽陷，此恨何时雪？草庐三顾，岂无高卧贤杰？<br>天意眷我中兴，吾皇神武，踵曾孙周发。河海封疆俱效顺，狂虏何劳灰灭？翠羽南巡，叩阍无路，徒有冲冠发。孤忠耿耿，剑铓冷浸秋月。
","爱国,感叹"
c8b54d79e6854a8b9b56b69be8e4129c,['菩萨蛮·风帘燕舞莺啼柳'],唐代 牛峤,"
风帘燕舞莺啼柳，妆台约鬓低纤手。钗重髻盘珊，一枝红牡丹。<br>门前行乐客，白马嘶春色。故故坠金鞭，回头应眼穿。
","写人,爱情"
e387d2d77b214b7fba891cc77c06bf75,['浣溪沙·肯把离情容易看'],清代 纳兰性德,"
肯把离情容易看，要从容易见艰难。难抛往事一般般。<br>今夜灯前形共影，枕函虚置翠衾单。更无人与共春寒。
","抒情,悲伤,孤单"
ca799c6c8424443cb65dc01c30aac30d,"['噫嘻', '噫嘻成王，既昭假尔。', '率时农夫，播厥百谷。', '骏发尔私，终三十里。', '亦服尔耕，十千维耦。']",先秦 佚名,"
<br>
","诗经,农事"
3e777dadc3f740818e4afb4d480f42d2,[],,,"目送归鸿，手挥五弦。,嵇康《赠秀才入军·其十四》"
c6b432f25de74f12937005f7ced82267,['和袭美春夕酒醒'],唐代 陆龟蒙,"
几年无事傍江湖，醉倒黄公旧酒垆。 <br>觉后不知明月上，满身花影倩人扶。
","写景,月色,闲适"
432de3adc167483aae115d1a2b1be045,['少年游·离多最是'],宋代 晏几道,"
离多最是，东西流水，终解两相逢。<br>浅情终似，行云无定，犹到梦魂中。<br>可怜人意，薄于云水，佳会更难重。<br>细想从来，断肠多处，不与今番同。
","爱情,离别"
d951b1f49ddd4ff4bc54ef2ff2ed02f3,"['次韵太守向公登楼眺望二首', '茫茫汝水抱城根，野色偷春入烧痕。', '千点湘妃枝上泪，一声杜宇水边魂。', '遥怜鸿隙陂穿路，尚想元和贼负恩。', '粉堞女墙都已尽，恍如陶侃梦天门。']",宋代 秦观,"
<br>
<br>
","历史,怀古"
ef7f8a06174e4e84a6a28bd85e3216dc,['南归阻雪'],唐代 孟浩然,"
我行滞宛许，日夕望京豫。<br>旷野莽茫茫，乡山在何处。 <br>孤烟村际起，归雁天边去。<br>积雪覆平皋，饥鹰捉寒兔。 <br>少年弄文墨，属意在章句。<br>十上耻还家，裴回守归路。
","写景,怀才不遇,怅惘"
16e5b4a618b747fe834831b7d1906dbe,['后园凿井歌'],唐代 李贺,"
井上辘轳床上转。水声繁，弦声浅。情若何，荀奉倩。<br>城头日，长向城头住。一日作千年，不须流下去。
","夫妻,爱情,生活"
9ec303f71ea845f29d230ae6b57d8dfc,[],,,"座中泣下谁最多？江州司马青衫湿。,白居易《琵琶行 / 琵琶引》"
45d4f8e4163e48539bf419dfdef4c1e5,['泛吴松江'],宋代 王禹偁,"
苇蓬疏薄漏斜阳，半日孤吟未过江。<br>唯有鹭鸶知我意，时时翘足对船窗。
","写景,抒情,仕途,厌恶"
ace8ac4934aa4fe4b0e27317508c28d4,['念奴娇·炎精中否'],宋代 黄中辅,"
炎精中否？叹人材委靡，都无英物。胡马长驱三犯阙，谁作长城坚壁？万国奔腾，两宫幽陷，此恨何时雪？草庐三顾，岂无高卧贤杰？<br>天意眷我中兴，吾皇神武，踵曾孙周发。河海封疆俱效顺，狂虏何劳灰灭？翠羽南巡，叩阍无路，徒有冲冠发。孤忠耿耿，剑铓冷浸秋月。
","爱国,感叹"
19195c1d8ced4432912e80525af9e059,['菩萨蛮·风帘燕舞莺啼柳'],唐代 牛峤,"
风帘燕舞莺啼柳，妆台约鬓低纤手。钗重髻盘珊，一枝红牡丹。<br>门前行乐客，白马嘶春色。故故坠金鞭，回头应眼穿。
","写人,爱情"
73108939d2db4e3cbe379028bfb3153c,['浣溪沙·肯把离情容易看'],清代 纳兰性德,"
肯把离情容易看，要从容易见艰难。难抛往事一般般。<br>今夜灯前形共影，枕函虚置翠衾单。更无人与共春寒。
","抒情,悲伤,孤单"
af01dd6d3d6248c7b19774b1cb621a44,"['噫嘻', '噫嘻成王，既昭假尔。', '率时农夫，播厥百谷。', '骏发尔私，终三十里。', '亦服尔耕，十千维耦。']",先秦 佚名,"
<br>
","诗经,农事"
c9c4d9c49ab044eb94b08a6809034dc9,[],,,"目送归鸿，手挥五弦。,嵇康《赠秀才入军·其十四》"
9e662059b27e4560b7ee063ab4f63254,['和袭美春夕酒醒'],唐代 陆龟蒙,"
几年无事傍江湖，醉倒黄公旧酒垆。 <br>觉后不知明月上，满身花影倩人扶。
","写景,月色,闲适"
db36660a8b2e4f56b7fe2ed688a68eb6,['少年游·离多最是'],宋代 晏几道,"
离多最是，东西流水，终解两相逢。<br>浅情终似，行云无定，犹到梦魂中。<br>可怜人意，薄于云水，佳会更难重。<br>细想从来，断肠多处，不与今番同。
","爱情,离别"
8a786e83b6bc4faaa46cc6d00d17e7b0,"['次韵太守向公登楼眺望二首', '茫茫汝水抱城根，野色偷春入烧痕。', '千点湘妃枝上泪，一声杜宇水边魂。', '遥怜鸿隙陂穿路，尚想元和贼负恩。', '粉堞女墙都已尽，恍如陶侃梦天门。']",宋代 秦观,"
<br>
<br>
","历史,怀古"
76f9770286854d58bfd1e339c935ac03,['南归阻雪'],唐代 孟浩然,"
我行滞宛许，日夕望京豫。<br>旷野莽茫茫，乡山在何处。 <br>孤烟村际起，归雁天边去。<br>积雪覆平皋，饥鹰捉寒兔。 <br>少年弄文墨，属意在章句。<br>十上耻还家，裴回守归路。
","写景,怀才不遇,怅惘"
2b9c5812e7ff4412a9b0396a042cdeec,['后园凿井歌'],唐代 李贺,"
井上辘轳床上转。水声繁，弦声浅。情若何，荀奉倩。<br>城头日，长向城头住。一日作千年，不须流下去。
","夫妻,爱情,生活"
95b29bfd45d441bc9af38b83a75b5b1d,[],,,"座中泣下谁最多？江州司马青衫湿。,白居易《琵琶行 / 琵琶引》"
8eb808c9e99e499eb2fdfb0ef9eeee5c,['泛吴松江'],宋代 王禹偁,"
苇蓬疏薄漏斜阳，半日孤吟未过江。<br>唯有鹭鸶知我意，时时翘足对船窗。
","写景,抒情,仕途,厌恶"
7c915450d5884466bd1ea88720506c72,['念奴娇·炎精中否'],宋代 黄中辅,"
炎精中否？叹人材委靡，都无英物。胡马长驱三犯阙，谁作长城坚壁？万国奔腾，两宫幽陷，此恨何时雪？草庐三顾，岂无高卧贤杰？<br>天意眷我中兴，吾皇神武，踵曾孙周发。河海封疆俱效顺，狂虏何劳灰灭？翠羽南巡，叩阍无路，徒有冲冠发。孤忠耿耿，剑铓冷浸秋月。
","爱国,感叹"
52aeabe7a4a0479d9f96220e3f00e4a3,['菩萨蛮·风帘燕舞莺啼柳'],唐代 牛峤,"
风帘燕舞莺啼柳，妆台约鬓低纤手。钗重髻盘珊，一枝红牡丹。<br>门前行乐客，白马嘶春色。故故坠金鞭，回头应眼穿。
","写人,爱情"
879732ed9c3b4398b10987c8dfb31636,['浣溪沙·肯把离情容易看'],清代 纳兰性德,"
肯把离情容易看，要从容易见艰难。难抛往事一般般。<br>今夜灯前形共影，枕函虚置翠衾单。更无人与共春寒。
","抒情,悲伤,孤单"
74ec3b3d5e034d58863f004314444f87,"['噫嘻', '噫嘻成王，既昭假尔。', '率时农夫，播厥百谷。', '骏发尔私，终三十里。', '亦服尔耕，十千维耦。']",先秦 佚名,"
<br>
","诗经,农事"
8638bf7805f64a80ac677dba9bc7d544,[],,,"目送归鸿，手挥五弦。,嵇康《赠秀才入军·其十四》"
8d36cdd03fe942fabc1312ad59629d5a,['和袭美春夕酒醒'],唐代 陆龟蒙,"
几年无事傍江湖，醉倒黄公旧酒垆。 <br>觉后不知明月上，满身花影倩人扶。
","写景,月色,闲适"
a34cb46a973a46da8043b849af85d84d,['少年游·离多最是'],宋代 晏几道,"
离多最是，东西流水，终解两相逢。<br>浅情终似，行云无定，犹到梦魂中。<br>可怜人意，薄于云水，佳会更难重。<br>细想从来，断肠多处，不与今番同。
","爱情,离别"
8a8a2053108d454fa0cb75fed254ff74,"['次韵太守向公登楼眺望二首', '茫茫汝水抱城根，野色偷春入烧痕。', '千点湘妃枝上泪，一声杜宇水边魂。', '遥怜鸿隙陂穿路，尚想元和贼负恩。', '粉堞女墙都已尽，恍如陶侃梦天门。']",宋代 秦观,"
<br>
<br>
","历史,怀古"
06d148f2995e4cd89dcb8d3007f9eae5,['南归阻雪'],唐代 孟浩然,"
我行滞宛许，日夕望京豫。<br>旷野莽茫茫，乡山在何处。 <br>孤烟村际起，归雁天边去。<br>积雪覆平皋，饥鹰捉寒兔。 <br>少年弄文墨，属意在章句。<br>十上耻还家，裴回守归路。
","写景,怀才不遇,怅惘"
111d80698e304ccabaf4d8dc6c89bb15,['后园凿井歌'],唐代 李贺,"
井上辘轳床上转。水声繁，弦声浅。情若何，荀奉倩。<br>城头日，长向城头住。一日作千年，不须流下去。
","夫妻,爱情,生活"
a55978f29d754d4790f415ed99af856d,[],,,"座中泣下谁最多？江州司马青衫湿。,白居易《琵琶行 / 琵琶引》"
e2893c1e380049d0a467d067ad455a91,['泛吴松江'],宋代 王禹偁,"
苇蓬疏薄漏斜阳，半日孤吟未过江。<br>唯有鹭鸶知我意，时时翘足对船窗。
","写景,抒情,仕途,厌恶"
65fa74167c2b4ecfba31763777ba13bd,['念奴娇·炎精中否'],宋代 黄中辅,"
炎精中否？叹人材委靡，都无英物。胡马长驱三犯阙，谁作长城坚壁？万国奔腾，两宫幽陷，此恨何时雪？草庐三顾，岂无高卧贤杰？<br>天意眷我中兴，吾皇神武，踵曾孙周发。河海封疆俱效顺，狂虏何劳灰灭？翠羽南巡，叩阍无路，徒有冲冠发。孤忠耿耿，剑铓冷浸秋月。
","爱国,感叹"
a5f9f67c9c4c4e549e649e377ba47013,['菩萨蛮·风帘燕舞莺啼柳'],唐代 牛峤,"
风帘燕舞莺啼柳，妆台约鬓低纤手。钗重髻盘珊，一枝红牡丹。<br>门前行乐客，白马嘶春色。故故坠金鞭，回头应眼穿。
","写人,爱情"
060236db1e714bc38e38b30f352a0b20,['浣溪沙·肯把离情容易看'],清代 纳兰性德,"
肯把离情容易看，要从容易见艰难。难抛往事一般般。<br>今夜灯前形共影，枕函虚置翠衾单。更无人与共春寒。
","抒情,悲伤,孤单"
d7448409a3e94fa980c570061286a568,"['噫嘻', '噫嘻成王，既昭假尔。', '率时农夫，播厥百谷。', '骏发尔私，终三十里。', '亦服尔耕，十千维耦。']",先秦 佚名,"
<br>
","诗经,农事"
da2776ceb3e14ac6a926de89aff913fa,[],,,"目送归鸿，手挥五弦。,嵇康《赠秀才入军·其十四》"
2e0f12ddb5c644c0bd5da5159f2365fe,['和袭美春夕酒醒'],唐代 陆龟蒙,"
几年无事傍江湖，醉倒黄公旧酒垆。 <br>觉后不知明月上，满身花影倩人扶。
","写景,月色,闲适"
43bbb3453c6c4415ab19584304ae14dc,['少年游·离多最是'],宋代 晏几道,"
离多最是，东西流水，终解两相逢。<br>浅情终似，行云无定，犹到梦魂中。<br>可怜人意，薄于云水，佳会更难重。<br>细想从来，断肠多处，不与今番同。
","爱情,离别"
6f637a7a9161469886dd08d3cfcc277e,"['次韵太守向公登楼眺望二首', '茫茫汝水抱城根，野色偷春入烧痕。', '千点湘妃枝上泪，一声杜宇水边魂。', '遥怜鸿隙陂穿路，尚想元和贼负恩。', '粉堞女墙都已尽，恍如陶侃梦天门。']",宋代 秦观,"
<br>
<br>
","历史,怀古"
a27a437e9a714f8596d6dc19f664df2c,['南归阻雪'],唐代 孟浩然,"
我行滞宛许，日夕望京豫。<br>旷野莽茫茫，乡山在何处。 <br>孤烟村际起，归雁天边去。<br>积雪覆平皋，饥鹰捉寒兔。 <br>少年弄文墨，属意在章句。<br>十上耻还家，裴回守归路。
","写景,怀才不遇,怅惘"
25aad455ae984376a7d2dc32cd1df9cd,['后园凿井歌'],唐代 李贺,"
井上辘轳床上转。水声繁，弦声浅。情若何，荀奉倩。<br>城头日，长向城头住。一日作千年，不须流下去。
","夫妻,爱情,生活"
baa18d599cfd42629a72a9b2338f7269,[],,,"座中泣下谁最多？江州司马青衫湿。,白居易《琵琶行 / 琵琶引》"
02772e05793d4cc89470db047c655886,['泛吴松江'],宋代 王禹偁,"
苇蓬疏薄漏斜阳，半日孤吟未过江。<br>唯有鹭鸶知我意，时时翘足对船窗。
","写景,抒情,仕途,厌恶"
5f5750ffb2b3477d81b2a956ee443f25,['念奴娇·炎精中否'],宋代 黄中辅,"
炎精中否？叹人材委靡，都无英物。胡马长驱三犯阙，谁作长城坚壁？万国奔腾，两宫幽陷，此恨何时雪？草庐三顾，岂无高卧贤杰？<br>天意眷我中兴，吾皇神武，踵曾孙周发。河海封疆俱效顺，狂虏何劳灰灭？翠羽南巡，叩阍无路，徒有冲冠发。孤忠耿耿，剑铓冷浸秋月。
","爱国,感叹"
71e10c10dbe044a19453817302714816,['菩萨蛮·风帘燕舞莺啼柳'],唐代 牛峤,"
风帘燕舞莺啼柳，妆台约鬓低纤手。钗重髻盘珊，一枝红牡丹。<br>门前行乐客，白马嘶春色。故故坠金鞭，回头应眼穿。
","写人,爱情"
a4b3b5dd0d114399bf695450dd6ac96a,['浣溪沙·肯把离情容易看'],清代 纳兰性德,"
肯把离情容易看，要从容易见艰难。难抛往事一般般。<br>今夜灯前形共影，枕函虚置翠衾单。更无人与共春寒。
","抒情,悲伤,孤单"
aacd4f16d289423ebefbb3e1e6917b95,"['噫嘻', '噫嘻成王，既昭假尔。', '率时农夫，播厥百谷。', '骏发尔私，终三十里。', '亦服尔耕，十千维耦。']",先秦 佚名,"
<br>
","诗经,农事"
becc727d26d44678b71431b817aafb95,[],,,"目送归鸿，手挥五弦。,嵇康《赠秀才入军·其十四》"
3e60e916b7a8461eb319a45d1b287a02,['和袭美春夕酒醒'],唐代 陆龟蒙,"
几年无事傍江湖，醉倒黄公旧酒垆。 <br>觉后不知明月上，满身花影倩人扶。
","写景,月色,闲适"
79470931809941babc10a1f73a2adf18,['少年游·离多最是'],宋代 晏几道,"
离多最是，东西流水，终解两相逢。<br>浅情终似，行云无定，犹到梦魂中。<br>可怜人意，薄于云水，佳会更难重。<br>细想从来，断肠多处，不与今番同。
","爱情,离别"
